0.0,73331
9.494,3825
18.988,2555
28.482,1483
37.976,1297
47.47,936
56.964,895
66.458,684
75.952,731
85.446,528
94.94,572
104.434,427
113.928,422
123.422,393
132.916,401
142.41,294
151.904,346
161.398,288
170.892,278
180.386,228
189.88,260
199.374,214
208.868,214
218.362,178
227.856,225
237.35,185
246.844,192
256.338,173
265.832,157
275.326,179
284.82,161
294.314,152
303.808,144
313.302,148
322.796,146
332.29,136
341.784,126
351.278,123
360.772,134
370.266,119
379.76,116
389.254,89
398.748,112
408.242,99
417.736,110
427.23,103
436.724,104
446.218,102
455.712,99
465.206,80
474.7,98
484.194,99
493.688,94
503.182,89
512.676,101
522.17,79
531.664,89
541.158,63
550.652,79
560.146,64
569.64,69
579.134,59
588.628,71
598.122,74
607.616,79
617.11,72
626.604,66
636.098,49
645.592,69
655.086,57
664.58,64
674.074,59
683.568,60
693.062,58
702.556,63
712.05,48
721.544,58
731.038,47
740.532,47
750.026,47
759.52,59
769.014,45
778.508,59
788.002,45
797.496,43
806.99,48
816.484,48
825.978,48
835.472,42
844.966,39
854.46,51
863.954,46
873.448,32
882.942,41
892.436,35
901.93,41
911.424,39
920.918,34
930.412,40
939.906,44
949.4,33
958.894,45
968.388,32
977.882,42
987.376,34
996.87,35
1006.364,25
1015.858,29
1025.352,24
1034.846,39
1044.34,35
1053.834,24
1063.328,28
1072.822,20
1082.316,22
1091.81,29
1101.304,34
1110.798,25
1120.292,23
1129.786,35
1139.28,18
1148.774,36
1158.268,17
1167.762,26
1177.256,25
1186.75,30
1196.244,22
1205.738,27
1215.232,30
1224.726,17
1234.22,22
1243.714,31
1253.208,24
1262.702,28
1272.196,21
1281.69,25
1291.184,19
1300.678,22
1310.172,11
1319.666,18
1329.16,14
1338.654,25
1348.148,16
1357.642,21
1367.136,12
1376.63,19
1386.124,17
1395.618,21
1405.112,20
1414.606,18
1424.1,16
1433.594,14
1443.088,15
1452.582,19
1462.076,19
1471.57,12
1481.064,6
1490.558,15
1500.052,13
1509.546,15
1519.04,12
1528.534,20
1538.028,16
1547.522,22
1557.016,13
1566.51,14
1576.004,13
1585.498,6
1594.992,15
1604.486,9
1613.98,21
1623.474,14
1632.968,15
1642.462,9
1651.956,10
1661.45,10
1670.944,11
1680.438,14
1689.932,17
1699.426,11
1708.92,8
1718.414,7
1727.908,13
1737.402,9
1746.896,8
1756.39,6
1765.884,11
1775.378,8
1784.872,6
1794.366,9
1803.86,10
1813.354,6
1822.848,11
